Как переводится стандартное приветствие «¡Hola!»?,Привет!
Какая пунктуационная особенность характерна для восклицательных и вопросительных предложений в испанском языке?,Знаки ставятся в начале (перевернутые) и в конце предложения.
Переведите приветствие «¡Buenos días!»,Добрый день!
Как по-испански сказать «Добрый вечер!»?,¡Buenas tardes!
Переведите приветствие «¡Buenas noches!»,Доброй ночи!
Какого рода слово «день» (día) в испанском языке?,Мужского рода.
"На какой слог падает ударение, если слово оканчивается на гласную, S или N?",На предпоследний слог.
"На какой слог падает ударение в испанских словах, если они оканчиваются не на гласную, S или N?",На последний слог.
"Какой знак ставится над гласной, если слово не подчиняется стандартным правилам ударения?",Знак «´» (знак ударения, acento ortográfico).
Как переводится личное местоимение «nosotras»?,Мы (женский род).
Как переводится личное местоимение «vosotros»?,"Вы (мужской род, множественное число, неформальное)."
Какое окончание получает глагол 1-й группы (-ar) в форме «я» (yo) в настоящем времени?,Окончание -o.
Какое окончание получает глагол 1-й группы (-ar) в форме «ты» (tú) в настоящем времени?,Окончание -as.
Какое окончание получает глагол 1-й группы (-ar) в форме «мы» (nosotros) в настоящем времени?,Окончание -amos.
Где в предложении ставится отрицательная частица «no» по отношению к глаголу?,Перед глаголом.
Как по-испански спросить «Как тебя зовут?»?,¿Cómo te llamas?
Как переводится фраза «Encantado» (или «Encantada»)?,Очень приятно (дословно: я восхищен/а).
Как по-испански сказать «До свидания!»?,¡Adiós! (или ¡Hasta la vista!)
Переведите фразу «Hasta mañana»,До завтра.
Как переводится испанское выражение «de nada»?,Не за что (ответ на благодарность).
Как образуется множественное число большинства существительных в испанском языке?,Путем добавления окончания -s.
Какое окончание получает глагол 2-й группы (-er) в форме «он/она» (él/ella) в настоящем времени?,Окончание -e.
Какое окончание получает глагол 2-й группы (-er) в форме «мы» (nosotros) в настоящем времени?,Окончание -emos.
Какое окончание получает глагол 3-й группы (-ir) в форме «мы» (nosotros) в настоящем времени?,Окончание -imos.
Назовите форму неправильного глагола «ser» (быть) для местоимения «yo» (я).,soy
Назовите форму неправильного глагола «ser» (быть) для местоимения «tú» (ты).,eres
Назовите форму неправильного глагола «ser» (быть) для местоимения «мы» (nosotros).,somos
Назовите форму неправильного глагола «ser» (быть) для местоимения «они» (ellos).,son
Как переводится вопросительное слово «¿Dónde?»?,Где?
Как переводится вопросительное слово «¿Cuándo?»?,Когда?
Как по-испански спросить «Почему?» или «Зачем?»?,¿Por qué?
Как по-испански спросить «Сколько это стоит?»?,¿Cuánto cuesta?
"Какой предлог используется для указания на направление движения («в», «к»)?",Предлог «a».
Какой предлог используется для указания местонахождения («в» чем-то)?,Предлог «en».
Какой предлог используется для указания на происхождение («из»)?,Предлог «de».
Для каких случаев используется глагол «estar» в отличие от «ser»?,Для обозначения временного состояния или местонахождения.
Назовите форму глагола «estar» (находиться) для местоимения «я» (yo).,estoy
Как переводится испанская фраза «¿Qué tal?»?,Как дела?
Какое окончание получает глагол 1-й группы (-ar) в форме «я» (yo) в прошедшем времени (Indefinido)?,Окончание -é.
Какое окончание получает глагол 1-й группы (-ar) в форме «он/она» (él/ella) в прошедшем времени (Indefinido)?,Окончание -ó.
"Какое окончание получают глаголы 2-й и 3-й групп (-er, -ir) в форме «я» (yo) в прошедшем времени?",Окончание -í.
"Какое окончание получают глаголы 2-й и 3-й групп (-er, -ir) в форме «он/она» (él/ella) в прошедшем времени?",Окончание -ió.
Формы каких двух глаголов полностью совпадают в прошедшем времени (Indefinido)?,ser (быть) и ir (идти/ехать).
Назовите форму глагола «ir» (идти) в настоящем времени для местоимения «я» (yo).,voy
Как образуется простейшая форма будущего времени в испанском языке?,Глагол ir + предлог a + инфинитив.
Назовите форму глагола «tener» (иметь) для местоимения «я» (yo) в настоящем времени.,tengo
Как переводится слово «marido»?,Муж.
Как переводится слово «mujer»?,Жена (или женщина).
Как по-испански «сын» и «дочь»?,hijo и hija.
Как по-испански «брат» и «сестра»?,hermano и hermana.
Назовите испанское числительное «одиннадцать».,once
Назовите испанское числительное «двенадцать».,doce
Как звучит определенный артикль мужского рода единственного числа?,el
Как звучит определенный артикль женского рода единственного числа?,la
Как звучит определенный артикль мужского рода множественного числа?,los
Как переводится притяжательное местоимение «mi»?,Мой (моя).
Как переводится притяжательное местоимение «nuestro»?,Наш.
Как переводится притяжательное местоимение «su»?,"Его, её или их (в зависимости от контекста)."
Как по-испански «дедушка» и «бабушка»?,abuelo и abuela.
Как переводится слово «nieto»?,Внук.
Как переводится слово «pequeño»?,Маленький.
Как переводится испанское слово «ahora»?,Сейчас.
Как переводится слово «trabajar»?,Работать.
Какое окончание получает глагол 1-й группы (-ar) в форме «они» (ellos) в прошедшем времени?,Окончание -aron.
